Wavelength,Intensity
20,14
20.02,13
20.04,1
20.06,4
20.08,3
20.1,11
20.12,8
20.14,14
20.16,5
20.18,4
20.2,9
20.22,5
20.24,13
20.26,12
20.28,6
20.3,17
20.32,12
20.34,9
20.36,14
20.38,7
20.4,8
20.42,11
20.44,4
20.46,11
20.48,6
20.5,14
20.52,14
20.54,17
20.56,11
20.58,2
20.6,9
20.62,12
20.64,10
20.66,11
20.68,11
20.7,18
20.72,9
20.74,11
20.76,7
20.78,16
20.8,
20.82,11
20.84,3
20.86,7
20.88,6
20.9,4
20.92,2
20.94,19
20.96,16
20.98,8
21,14
21.02,6
21.04,7
21.06,4
21.08,5
21.1,8
21.12,7
21.14,20
21.16,6
21.18,11
21.2,5
21.22,10
21.24,6
21.26,9
21.28,6
21.3,16
21.32,16
21.34,10
21.36,2
21.38,7
21.4,11
21.42,3
21.44,3
21.46,13
21.48,7
21.5,16
21.52,10
21.54,6
21.56,10
21.58,7
21.6,11
21.62,10
21.64,8
21.66,12
21.68,8
21.7,11
21.72,12
21.74,7
21.76,14
21.78,12
21.8,12
21.82,15
21.84,5
21.86,5
21.88,3
21.9,12
21.92,6
21.94,14
21.96,3
21.98,11
22,3
22.02,
22.04,2
22.06,11
22.08,4
22.1,4
22.12,8
22.14,10
22.16,6
22.18,5
22.2,10
22.22,17
22.24,8
22.26,11
22.28,7
22.3,7
22.32,4
22.34,16
22.36,8
22.38,3
22.4,16
22.42,10
22.44,15
22.46,5
22.48,22
22.5,9
22.52,23
22.54,11
22.56,9
22.58,18
22.6,16
22.62,22
22.64,10
22.66,21
22.68,15
22.7,13
22.72,9
22.74,15
22.76,15
22.78,23
22.8,28
22.82,18
22.84,22
22.86,24
22.88,12
22.9,18
22.92,21
22.94,35
22.96,21
22.98,28
23,18
23.02,25
23.04,37
23.06,26
23.08,33
23.1,35
23.12,41
23.14,41
23.16,49
23.18,62
23.2,68
23.22,84
23.24,117
23.26,141
23.28,237
23.3,324
23.32,535
23.34,1084
23.36,2116
23.38,3575
23.4,4546
23.42,3113
23.44,2113
23.46,2283
23.48,2097
23.5,1061
23.52,476
23.54,256
23.56,169
23.58,138
23.6,97
23.62,72
23.64,52
23.66,39
23.68,47
23.7,42
23.72,38
23.74,23
23.76,26
23.78,35
23.8,23
23.82,24
23.84,16
23.86,20
23.88,24
23.9,24
23.92,14
23.94,17
23.96,17
23.98,18
24,13
24.02,18
24.04,15
24.06,11
24.08,2
24.1,12
24.12,14
24.14,20
24.16,8
24.18,17
24.2,6
24.22,6
24.24,6
24.26,5
24.28,14
24.3,11
24.32,8
24.34,
24.36,13
24.38,15
24.4,11
24.42,4
24.44,11
24.46,5
24.48,7
24.5,12
24.52,3
24.54,16
24.56,5
24.58,1
24.6,6
24.62,5
24.64,9
24.66,17
24.68,12
24.7,7
24.72,11
24.74,
24.76,9
24.78,6
24.8,11
24.82,7
24.84,
24.86,7
24.88,2
24.9,2
24.92,7
24.94,2
24.96,10
24.98,9
25,2
25.02,10
25.04,11
25.06,
25.08,9
25.1,8
25.12,10
25.14,7
25.16,6
25.18,4
25.2,6
25.22,
25.24,4
25.26,7
25.28,8
25.3,12
25.32,6
25.34,13
25.36,1
25.38,5
25.4,
25.42,3
25.44,9
25.46,7
25.48,4
25.5,16
25.52,2
25.54,11
25.56,4
25.58,1
25.6,13
25.62,2
25.64,
25.66,4
25.68,6
25.7,3
25.72,3
25.74,9
25.76,1
25.78,4
25.8,
25.82,5
25.84,5
25.86,2
25.88,
25.9,14
25.92,8
25.94,2
25.96,8
25.98,3
26,4
26.02,1
26.04,8
26.06,2
26.08,15
26.1,11
26.12,6
26.14,4
26.16,12
26.18,5
26.2,7
26.22,6
26.24,2
26.26,7
26.28,1
26.3,12
26.32,7
26.34,7
26.36,4
26.38,4
26.4,2
26.42,6
26.44,1
26.46,11
26.48,2
26.5,4
26.52,12
26.54,9
26.56,6
26.58,9
26.6,9
26.62,1
26.64,6
26.66,1
26.68,11
26.7,11
26.72,4
26.74,1
26.76,8
26.78,6
26.8,8
26.82,9
26.84,9
26.86,
26.88,3
26.9,9
26.92,8
26.94,5
26.96,8
26.98,4
27,5
27.02,6
27.04,2
27.06,9
27.08,3
27.1,
27.12,11
27.14,1
27.16,6
27.18,9
27.2,8
27.22,12
27.24,5
27.26,3
27.28,15
27.3,7
27.32,6
27.34,2
27.36,7
27.38,1
27.4,10
27.42,4
27.44,2
27.46,9
27.48,8
27.5,1
27.52,3
27.54,5
27.56,1
27.58,1
27.6,11
27.62,
27.64,4
27.66,1
27.68,11
27.7,3
27.72,
27.74,7
27.76,7
27.78,8
27.8,7
27.82,2
27.84,2
27.86,6
27.88,7
27.9,6
27.92,3
27.94,4
27.96,7
27.98,6
28,1
28.02,11
28.04,7
28.06,4
