Wavelength,Intensity1,Intensity2
300,409,298
310,447,349
320,383,393
,,
330,563,480
340,444,487
350,429,374
,,
360,452,343
370,798,341
380,596,381
390,787,436
400,1554,738
410,1419,1136
420,1283,1430
430,531,2692
440,323,1939
,,
,,
450,308,654
460,290,364
470,277,317
480,282,279
490,231,286
500,260,319
510,243,312
,,
520,248,295
530,220,474
,,
540,233,973
550,245,852
560,246,517
570,251,435
,,
,,
580,282,433
590,375,526
600,301,821
,,
,,
,,
610,275,614
620,241,470
630,237,679
640,255,2498
650,249,1702
660,235,2036
670,258,1275
680,292,665
690,322,866
700,323,1480
710,317,1158
720,272,600
730,266,429
,,
740,280,494
750,255,845
760,254,1216
,,
,,
770,253,778
780,292,403
790,251,408
800,257,343
,,
810,288,343
,,
820,273,330
830,285,345
840,266,283
850,257,316
860,247,284
,,
,,
870,233,303
880,252,309
890,272,363
900,268,430
910,260,535
920,255,731
930,240,669
,,
,,
,,
,,
940,275,749
950,287,570
960,346,428
970,433,348
980,379,343
990,641,448
1000,1402,768
1010,811,1029
1020,912,671
1030,375,383
1040,285,331
1050,244,322
1060,238,316
,,
1070,248,336
1080,233,317
1090,201,322
1100,243,315
1110,243,316
,,
1120,239,329
1130,209,372
1140,227,388
1150,202,406
1160,206,439
1170,215,434
1180,240,426
1190,230,372
1200,237,347
1210,223,391
1220,234,411
,,
,,
1230,224,400
1240,240,431
1250,241,680
1260,226,828
1270,245,631
1280,229,435
1290,223,468
